n (rpm),U (m/s),Re,U*,A/D,f,f*
180,0.234,18720,2.438046,0.027625,1.181364,0.984691
200,0.26,20800,2.70894,0.054642,0.925147,0.771129
240,0.312,24960,3.250728,0.220986,0.784849,0.654187
280,0.364,29120,3.792516,0.741179,0.935533,0.779786
320,0.416,33280,4.334304,1.029895,1.092896,0.910951
360,0.468,37440,4.876092,0.984357,1.091153,0.909498
400,0.52,41600,5.41788,0.983596,1.198299,0.998806
440,0.572,45760,5.959668,0.770023,1.243305,1.03632
480,0.624,49920,6.501456,0.610434,1.323189,1.102904
520,0.676,54080,7.043244,0.491787,1.423841,1.1868
560,0.728,58240,7.585032,0.424707,1.49975,1.250072
600,0.78,62400,8.12682,0.332253,1.604367,1.337272
