n (rpm),U (m/s),Re,U*,A/D,f,f*
200,0.26,20800,2.70894,0.041172,1.034713,0.862454
220,0.286,22880,2.979834,0.129178,0.750125,0.625244
240,0.312,24960,3.250728,0.21105,0.784379,0.653796
280,0.364,29120,3.792516,0.442912,0.924992,0.770999
320,0.416,33280,4.334304,0.941929,1.093621,0.911555
360,0.468,37440,4.876092,0.958512,1.164557,0.970681
400,0.52,41600,5.41788,0.893869,1.21444,1.01226
440,0.572,45760,5.959668,0.634699,1.257237,1.047932
480,0.624,49920,6.501456,0.546301,1.332001,1.11025
520,0.676,54080,7.043244,0.409401,1.44831,1.207196
560,0.728,58240,7.585032,0.355177,1.516414,1.263961
600,0.78,62400,8.12682,0.276948,1.624399,1.353969
640,0.832,66560,8.668607,0.052494,1.762554,1.469124
680,0.884,70720,9.210395,0.047735,1.67607,1.397038
