n (rpm),U (m/s),Re,U*,A/D,f,f*
180,0.234,18720,2.361299,0.046127198,0.671930119,0.542437
200,0.26,20800,2.623666,0.063124311,0.719063545,0.580487
220,0.286,22880,2.886032,0.118033517,0.739868841,0.597283
240,0.312,24960,3.148399,0.207939147,0.780860608,0.630375
260,0.338,27040,3.410765,0.272509866,0.832500833,0.672063
280,0.364,29120,3.673132,0.327959679,0.88717777,0.716202
300,0.39,31200,3.935498,0.888325859,1.035058431,0.835584
320,0.416,33280,4.197865,0.916481632,1.106639839,0.89337
340,0.442,35360,4.460232,0.944623206,1.145418327,0.924675
360,0.468,37440,4.722598,0.940801517,1.179990028,0.952584
380,0.494,39520,4.984965,0.912875222,1.209009606,0.976011
400,0.52,41600,5.247331,0.859211196,1.230666888,0.993495
420,0.546,43680,5.509698,0.786133355,1.246840775,1.006552
440,0.572,45760,5.772064,0.662643919,1.276102088,1.030174
460,0.598,47840,6.034431,0.577504924,1.312292359,1.05939
480,0.624,49920,6.296798,0.541664896,1.348202397,1.088379
500,0.65,52000,6.559164,0.53196124,1.382799325,1.116309
520,0.676,54080,6.821531,0.397447312,1.463252411,1.181257
540,0.702,56160,7.083897,0.383230813,1.489539749,1.202478
560,0.728,58240,7.346264,0.383740229,1.521415578,1.228211
580,0.754,60320,7.60863,0.309916395,1.589403974,1.283097
600,0.78,62400,7.870997,0.308658089,1.623430962,1.310566
620,0.806,64480,8.133363,0.199585767,1.753214226,1.415338
640,0.832,66560,8.39573,0.174606513,1.874490628,1.513242
660,0.858,68640,8.658097,0.1408304,1.876453006,1.514826
680,0.884,70720,8.920463,0.116065373,2.060666007,1.663538
700,0.91,72800,9.18283,0.111284119,2.17714003,1.757565
720,0.936,74880,9.445196,0.083957973,2.213346647,1.786794
