n (rpm),U (m/s),Re,U*,A/D,f,f*
180,0.234,18720,2.512449,0.040761,0.834028,0.716395
200,0.26,20800,2.79161,0.056876,0.862498,0.740849
220,0.286,22880,3.070771,0.136733,0.74975,0.644003
240,0.312,24960,3.349933,0.22041,0.783856,0.673299
280,0.364,29120,3.908255,0.758656,0.942285,0.809382
320,0.416,33280,4.466577,0.962865,1.076897,0.925008
360,0.468,37440,5.024899,0.955499,1.145609,0.984029
400,0.52,41600,5.583221,0.814818,1.174913,1.0092
440,0.572,45760,6.141543,0.607366,1.232306,1.058498
480,0.624,49920,6.699865,0.505569,1.327062,1.139889
520,0.676,54080,7.258187,0.436086,1.412429,1.213216
560,0.728,58240,7.816509,0.354622,1.516919,1.302969
600,0.78,62400,8.374831,0.232105,1.652619,1.419529
640,0.832,66560,8.933153,0.063679,1.714666,1.472825
680,0.884,70720,9.491475,0.048021,1.639616,1.40836
700,0.91,72800,9.770636,0.04036,1.760505,1.512198
